iter	RMSE
0	32.64351506
1	32.61453172
2	32.49027416
3	32.43814418
4	32.34710254
5	32.27716651
6	32.19089241
7	32.13124928
8	32.0037597
9	31.98996932
10	31.92571283
11	31.87318785
12	31.86402304
13	31.81240144
14	31.68744341
15	31.65332743
16	31.60561755
17	31.58703319
18	31.49412511
19	31.45739476
20	31.42767518
21	31.39961341
22	31.30721752
23	31.24117451
24	31.23448462
25	31.15159661
26	31.09618509
27	31.02844444
28	30.92522555
29	30.8684553
30	30.78213095
31	30.76473767
32	30.67564759
33	30.6142116
34	30.56578503
35	30.49115844
36	30.39020771
37	30.32098036
38	30.24895993
39	30.22619706
40	30.12865295
41	30.06156438
42	30.04744175
43	30.03440899
44	30.00238285
45	29.98660367
46	29.91328111
47	29.85424713
48	29.82307538
49	29.82118195
50	29.7956103
51	29.73717709
52	29.70916262
53	29.70293323
54	29.62104235
55	29.5618973
56	29.53852855
57	29.49583568
58	29.45892511
59	29.39278296
60	29.38021717
61	29.31537008
62	29.28235414
63	29.26804542
64	29.20001857
65	29.12671726
66	29.04785843
67	29.00287708
68	28.9251081
69	28.87902084
70	28.83001597
71	28.79388148
72	28.78654383
73	28.73927844
74	28.65581708
75	28.60573552
76	28.55753684
77	28.48055011
78	28.41228722
79	28.39339509
80	28.37627784
81	28.30597283
82	28.2740254
83	28.23505052
84	28.1827296
85	28.13327874
86	28.11740941
87	28.09747599
88	28.05195524
89	27.9978102
90	27.94786825
91	27.88238151
92	27.84613617
93	27.81517702
94	27.77321588
95	27.7075231
96	27.60587808
97	27.57114635
98	27.51674704
99	27.50624764
100	27.47614053
101	27.44820666
102	27.44664381
103	27.43555338
104	27.42449038
105	27.38350556
106	27.36782606
107	27.347921
108	27.30151888
109	27.29457592
110	27.26309538
111	27.25315566
112	27.19246953
113	27.15351586
114	27.13713709
115	27.10268729
116	27.05577749
117	27.03665308
118	27.01370725
119	26.97386156
120	26.95552567
121	26.94642449
122	26.92451121
123	26.88240989
124	26.85451542
125	26.80752683
126	26.79817469
127	26.75263309
128	26.75141473
129	26.72801791
130	26.67072235
131	26.62526828
132	26.61421425
133	26.55002549
134	26.48417729
135	26.44302664
136	26.39870862
137	26.38217972
138	26.30057827
139	26.24999973
140	26.18877276
141	26.16348847
142	26.11966388
143	26.08495273
144	26.03946325
145	26.01022618
146	25.96865402
147	25.94334565
148	25.88657733
149	25.82664243
150	25.76752249
151	25.70768692
152	25.64737034
153	25.61894833
154	25.59521033
155	25.5621883
156	25.52340243
157	25.48354702
158	25.45880782
159	25.44107316
160	25.4068086
161	25.37615373
162	25.35611033
163	25.291831
164	25.21275901
165	25.15374765
166	25.14702996
167	25.09796765
168	25.09153069
169	25.07236687
170	25.01616218
171	24.98662214
172	24.91837237
173	24.88631024
174	24.84272598
175	24.81055849
176	24.7728216
177	24.73255934
178	24.68569738
179	24.63656412
180	24.59144867
181	24.54285818
182	24.51963568
183	24.47531106
184	24.44083242
185	24.3933552
186	24.35766273
187	24.33528941
188	24.29209283
189	24.2605241
190	24.21965623
191	24.17865373
192	24.15284568
193	24.10511914
194	24.04662362
195	24.01740607
196	23.96398976
197	23.93675186
198	23.90644881
199	23.85977648
200	23.8160436
201	23.78760188
202	23.75988472
203	23.73463961
204	23.69400234
205	23.68899877
206	23.63573531
207	23.61129592
208	23.60240208
209	23.57213585
210	23.49808146
211	23.43798447
212	23.38599139
213	23.31169584
214	23.29352567
215	23.2473154
216	23.19718787
217	23.18307277
218	23.15610517
219	23.13815512
220	23.10976702
221	23.08355256
222	23.02670051
223	22.97396791
224	22.94832098
225	22.90182558
226	22.88469699
227	22.86433367
228	22.81484224
229	22.77131545
230	22.71605469
231	22.6838448
232	22.63357015
233	22.58078484
234	22.55415147
235	22.49756479
236	22.43543426
237	22.38744606
238	22.35339042
239	22.31225803
240	22.26776412
241	22.24142021
242	22.21588755
243	22.17406907
244	22.11941621
245	22.0959436
246	22.07267171
247	22.04078176
248	22.01455678
249	21.9647876
250	21.93223026
251	21.88413793
252	21.86114569
253	21.84036155
254	21.80924499
255	21.77986674
256	21.7452567
257	21.68748868
258	21.65866484
259	21.60875444
260	21.58421568
261	21.56211456
262	21.5402863
263	21.51872771
264	21.49743565
265	21.46584052
266	21.4332831
267	21.41302066
268	21.37766345
269	21.35727169
270	21.337133
271	21.29368271
272	21.27442661
273	21.25541139
274	21.22743714
