iter	Passed	Remaining
0	0	286
1	0	393
2	1	359
3	1	330
4	1	314
5	1	295
6	2	307
7	2	291
8	2	299
9	2	280
10	3	286
11	3	293
12	3	277
13	3	271
14	4	274
15	4	280
16	4	282
17	5	274
18	5	274
19	5	276
20	5	276
21	6	267
22	6	267
23	6	266
24	6	265
25	7	266
26	7	266
27	7	265
28	8	269
29	8	278
30	8	277
31	9	273
32	9	270
33	9	271
34	9	270
35	10	276
36	10	276
37	10	275
38	11	274
39	11	272
40	11	276
41	12	275
42	12	272
43	12	268
44	12	267
45	12	263
46	12	262
47	13	261
48	13	260
49	13	256
50	13	253
51	13	252
52	14	250
53	14	247
54	14	246
55	14	247
56	14	245
57	14	243
58	15	240
59	15	240
60	15	240
61	16	242
62	16	243
63	16	241
64	16	240
65	16	239
66	17	240
67	17	239
68	17	239
69	18	239
70	18	240
71	18	241
72	18	239
73	19	238
74	19	237
75	19	236
76	19	234
77	19	234
78	20	234
79	20	234
80	20	234
81	21	235
82	21	235
83	21	234
84	21	233
85	21	233
86	22	232
87	22	231
88	22	230
89	22	230
90	22	229
91	23	228
92	23	227
93	23	228
94	24	230
95	24	229
96	24	231
97	25	230
98	25	230
99	25	228
100	25	227
101	25	226
102	25	224
103	25	222
104	25	221
105	26	220
106	26	220
107	26	219
108	26	219
109	27	218
110	27	219
111	27	218
112	27	217
113	28	218
114	28	218
115	28	217
116	28	217
117	28	216
118	29	215
119	29	215
120	29	214
121	29	214
122	30	214
123	30	214
124	30	213
125	30	213
126	30	211
127	31	212
128	31	211
129	31	210
130	31	210
131	31	210
132	32	209
133	32	209
134	32	209
135	32	209
136	33	210
137	33	209
138	33	209
139	34	210
140	34	209
141	34	209
142	34	208
143	35	208
144	35	210
145	35	210
146	36	209
147	36	208
148	36	208
149	36	208
150	37	208
151	37	208
152	37	207
153	37	207
154	38	207
155	38	208
156	38	207
157	38	207
158	39	207
159	39	206
160	39	206
161	39	205
162	39	205
163	40	205
164	40	205
165	40	205
166	40	204
167	41	204
168	41	203
169	41	202
170	41	203
171	42	202
172	42	202
173	42	203
174	43	202
175	43	202
176	43	202
177	43	201
178	43	201
179	44	201
180	44	200
181	44	200
182	44	200
183	45	200
184	45	200
185	45	200
186	45	199
187	46	199
